Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration
911,"Yknow, theyre not gonna get married anyway!",Rachel,anger,negative,89,9,4,20,2023-05-02 00:09:52.925,2023-05-02 00:09:55.136,2.2110000000000003
912,What?,Chandler,surprise,negative,89,10,4,20,2023-05-02 00:09:55.136,2023-05-02 00:09:56.593,1.457
913,Come on!,Rachel,anger,negative,89,11,4,20,2023-05-02 00:09:56.679,2023-05-02 00:09:57.472,0.793
914,They rushed into this thing so fast its ridiculous!,Rachel,disgust,negative,89,12,4,20,2023-05-02 00:09:57.472,2023-05-02 00:10:00.734,3.262
917,"And somewhere along the way, one of them is gonna realise what theyve done and theyre call the whole thing off.",Rachel,neutral,neutral,89,15,4,20,2023-05-02 00:10:03.811,2023-05-02 00:10:08.148,4.337000000000001
918,"Im telling ya, youre gonna be dancing at my wedding before youre dancing at theres.",Rachel,joy,positive,89,16,4,20,2023-05-02 00:10:08.316,2023-05-02 00:10:11.776,3.4600000000000004
919,What the hell is this?!,Phoebe,surprise,negative,90,0,4,22,2023-05-02 00:06:52.954,2023-05-02 00:06:54.538,1.584
921,This sucks!,Phoebe,anger,negative,92,0,4,22,2023-05-02 00:07:02.255,2023-05-02 00:07:03.880,1.625
922,"All right, whats my next present?",Phoebe,neutral,neutral,92,1,4,22,2023-05-02 00:07:06.592,2023-05-02 00:07:08.135,1.5430000000000001
925,Enhh,Monica,neutral,neutral,93,1,4,1,2023-05-02 00:09:07.547,2023-05-02 00:09:09.089,1.542
926,Ive got canned goods.,Chandler,neutral,neutral,93,2,4,1,2023-05-02 00:09:11.634,2023-05-02 00:09:12.759,1.125
928,"Excellent hole, Joe.",Chandler,neutral,neutral,93,4,4,1,2023-05-02 00:09:22.728,2023-05-02 00:09:24.813,2.085
929,Oh no! No!! My hole!!,Joey,surprise,negative,93,5,4,1,2023-05-02 00:09:26.440,2023-05-02 00:09:28.525,2.085
930,Ow!! Ow!!!,Monica,disgust,negative,93,6,4,1,2023-05-02 00:09:28.693,2023-05-02 00:09:30.819,2.1260000000000003
931,What?! What?!! What is it?!,Joey,surprise,negative,93,7,4,1,2023-05-02 00:09:30.987,2023-05-02 00:09:32.404,1.417
932,My drinking?,Rachel,neutral,neutral,94,0,4,9,2023-05-02 00:11:38.948,2023-05-02 00:11:40.198,1.25
933,"Oh, I mustve said that after you left.",Joanna,neutral,neutral,94,1,4,9,2023-05-02 00:11:41.617,2023-05-02 00:11:44.244,2.6270000000000002
934,Said what? Exactly.,Rachel,fear,negative,94,2,4,9,2023-05-02 00:11:45.579,2023-05-02 00:11:46.955,1.3760000000000001
935,That you enjoyed the occasional drinking binge.,Joanna,neutral,neutral,94,3,4,9,2023-05-02 00:11:47.123,2023-05-02 00:11:48.915,1.792
937,Wait-wait-wait-wait-wait-wait-wait-wait!!,Joanna,fear,negative,94,5,4,9,2023-05-02 00:11:54.964,2023-05-02 00:11:58.299,3.3350000000000004
938,If youre gonna get all sensitive about it!,Joanna,anger,negative,94,6,4,9,2023-05-02 00:11:58.467,2023-05-02 00:12:01.386,2.919
939,I dont want to lose you.,Joanna,sadness,negative,94,7,4,9,2023-05-02 00:12:01.554,2023-05-02 00:12:02.929,1.375
940,"What if I, create a position for you?",Joanna,neutral,neutral,94,8,4,9,2023-05-02 00:12:03.097,2023-05-02 00:12:05.640,2.543
941,Ill make you an assistant buyer in this department.,Joanna,neutral,neutral,94,9,4,9,2023-05-02 00:12:05.808,2023-05-02 00:12:08.810,3.0020000000000002
942,Say more things like that.,Rachel,joy,positive,94,10,4,9,2023-05-02 00:12:10.229,2023-05-02 00:12:12.731,2.5020000000000002
943,"You can have your own office, and a raise! Effective tomorrow.",Joanna,joy,positive,94,11,4,9,2023-05-02 00:12:13.524,2023-05-02 00:12:16.526,3.0020000000000002
944,Id need an expense account.,Rachel,neutral,neutral,94,12,4,9,2023-05-02 00:12:17.319,2023-05-02 00:12:18.779,1.4600000000000002
945,Done!,Joanna,joy,positive,94,13,4,9,2023-05-02 00:12:18.779,2023-05-02 00:12:19.983,1.2040000000000002
946,And an assistant.,Rachel,neutral,neutral,94,14,4,9,2023-05-02 00:12:20.448,2023-05-02 00:12:21.491,1.0430000000000001
947,"Sophie, get in here!",Joanna,joy,positive,94,15,4,9,2023-05-02 00:12:21.491,2023-05-02 00:12:23.063,1.572
948,Monica? You gonna be very proud of me. I just got us dates with two unbelievably cute nurses.,Rachel,joy,positive,95,0,5,3,2023-05-02 00:04:00.782,2023-05-02 00:04:04.409,3.6270000000000002
949,Oh my!,Joey,surprise,positive,95,1,5,3,2023-05-02 00:04:04.619,2023-05-02 00:04:05.953,1.334
950,They're male nurses.,Rachel,neutral,neutral,95,2,5,3,2023-05-02 00:04:07.372,2023-05-02 00:04:09.206,1.834
951,Not in my head.,Joey,neutral,neutral,95,3,5,3,2023-05-02 00:04:09.374,2023-05-02 00:04:11.291,1.917
952,"Anyway, they want to take us out Saturday night! What do you say?",Rachel,joy,positive,95,4,5,3,2023-05-02 00:04:12.001,2023-05-02 00:04:15.671,3.6700000000000004
953,Umm.  Umm. Umm. I don't think so.,Monica,joy,positive,95,5,5,3,2023-05-02 00:04:21.386,2023-05-02 00:04:22.304,0.918
954,What?,Rachel,surprise,positive,95,6,5,3,2023-05-02 00:04:22.304,2023-05-02 00:04:23.451,1.147
955,What are you talking about?!,Rachel,surprise,negative,95,7,5,3,2023-05-02 00:04:23.638,2023-05-02 00:04:25.097,1.459
956,You-you're the one who's been telling me to get over Ross and move on.,Rachel,anger,negative,95,8,5,3,2023-05-02 00:04:25.348,2023-05-02 00:04:29.059,3.7110000000000003
957,"I'm moving on, and you're moving on with me.",Rachel,neutral,neutral,95,9,5,3,2023-05-02 00:04:29.310,2023-05-02 00:04:31.395,2.085
958,"Come on, give me one good reason why you don't wanna go.",Rachel,neutral,neutral,95,10,5,3,2023-05-02 00:04:35.566,2023-05-02 00:04:38.069,2.503
959,"Umm, why don't you give",Monica,neutral,neutral,95,11,5,3,2023-05-02 00:04:38.069,2023-05-02 00:04:38.213,0.14400000000000002
960,What?,Rachel,surprise,positive,95,12,5,3,2023-05-02 00:04:42.407,2023-05-02 00:04:44.579,2.172
961,Harder than it sounds. Isn't it?,Monica,neutral,neutral,95,13,5,3,2023-05-02 00:04:44.579,2023-05-02 00:04:45.331,0.752
963,Yep! There's always room for,Joey,neutral,neutral,95,15,5,3,2023-05-02 00:04:51.207,2023-05-02 00:04:54.751,3.544
964,"Joey, how do you make",Rachel,neutral,neutral,95,16,5,3,2023-05-02 00:04:58.172,2023-05-02 00:05:00.132,1.9600000000000002
966,"Hello, this is Monica...",Monica,neutral,neutral,96,0,1,17,2023-05-02 00:14:02.007,2023-05-02 00:14:04.217,2.21
967,Yeah???,Monica,neutral,neutral,96,1,1,17,2023-05-02 00:14:04.635,2023-05-02 00:14:05.760,1.125
968,Oh...,Monica,neutral,neutral,96,2,1,17,2023-05-02 00:14:06.595,2023-05-02 00:14:08.179,1.584
969,"Okay, yes, we'll be right, we'll be right down.",Monica,neutral,neutral,96,3,1,17,2023-05-02 00:14:08.430,2023-05-02 00:14:09.942,1.512
970,Thank you.,Monica,neutral,neutral,96,4,1,17,2023-05-02 00:14:09.942,2023-05-02 00:14:10.778,0.8360000000000001
971,Okay. Lets bring it in.,Monica,neutral,neutral,97,0,3,9,2023-05-02 00:04:23.888,2023-05-02 00:04:25.514,1.6260000000000001
972,"Wait no, honey, honey throw it to me, throw it to me.",Rachel,neutral,neutral,97,1,3,9,2023-05-02 00:04:25.682,2023-05-02 00:04:27.140,1.4580000000000002
973,Here you go.,Ross,neutral,neutral,97,2,3,9,2023-05-02 00:04:27.308,2023-05-02 00:04:29.559,2.2510000000000003
974,That almost hit me in the face.,Rachel,anger,negative,97,3,3,9,2023-05-02 00:04:31.104,2023-05-02 00:04:33.772,2.668
976,"Well, if the magician can open my beer with his but cheeks, then all right.",Chandler,neutral,neutral,98,1,3,12,2023-05-02 00:01:44.896,2023-05-02 00:01:48.732,3.8360000000000003
977,Hey!,Chandler,joy,positive,99,0,7,19,2023-05-02 00:05:24.907,2023-05-02 00:05:25.575,0.668
978,Hey!,Monica,joy,positive,99,1,7,19,2023-05-02 00:05:25.575,2023-05-02 00:05:26.813,1.238
979,Yknow Im-Im really glad we decided not to sleep together before the wedding.,Chandler,joy,positive,99,2,7,19,2023-05-02 00:05:26.909,2023-05-02 00:05:30.495,3.5860000000000003
980,"Oh boy, me too!",Monica,joy,positive,99,3,7,19,2023-05-02 00:05:30.705,2023-05-02 00:05:32.998,2.293
981,Yknow I was thinking if we had aa big fight and uh we broke up for a few hours,Chandler,neutral,neutral,99,4,7,19,2023-05-02 00:05:33.541,2023-05-02 00:05:38.211,4.67
982,Yeah?,Monica,fear,negative,99,5,7,19,2023-05-02 00:05:38.379,2023-05-02 00:05:39.522,1.143
984,"The wedding is off, sloppy and immature!",Monica,anger,negative,99,7,7,19,2023-05-02 00:05:46.304,2023-05-02 00:05:48.972,2.668
985,Thats me! Come on!,Chandler,joy,positive,99,8,7,19,2023-05-02 00:05:49.140,2023-05-02 00:05:50.474,1.334
986,"Okay.  But wait, we cant. My Cousin Cassie is in the guest room, were supposed to have lunch.",Monica,neutral,neutral,99,9,7,19,2023-05-02 00:05:50.641,2023-05-02 00:05:54.144,3.503
987,"Well, get rid of her, obsessive and shrill.",Chandler,neutral,neutral,99,10,7,19,2023-05-02 00:05:54.312,2023-05-02 00:05:56.438,2.1260000000000003
988,Shrill?! The wedding is back on!,Monica,anger,negative,99,11,7,19,2023-05-02 00:05:57.440,2023-05-02 00:05:59.900,2.46
989,I thought I heard voices. You must be Chandler.,Cassie,neutral,neutral,99,12,7,19,2023-05-02 00:06:02.111,2023-05-02 00:06:05.447,3.3360000000000003
990,Hi! Nice to meet you!,Chandler,joy,positive,99,13,7,19,2023-05-02 00:06:06.074,2023-05-02 00:06:07.506,1.4320000000000002
991,Nice to meet you too.,Cassie,neutral,neutral,99,14,7,19,2023-05-02 00:06:07.506,2023-05-02 00:06:09.254,1.748
992,"So, are you ready to go?",Monica,neutral,neutral,99,15,7,19,2023-05-02 00:06:09.369,2023-05-02 00:06:10.291,0.922
993,Yeah.,Cassie,neutral,neutral,99,16,7,19,2023-05-02 00:06:10.291,2023-05-02 00:06:11.973,1.6820000000000002
994,Chandler!,Monica,anger,negative,99,17,7,19,2023-05-02 00:06:29.847,2023-05-02 00:06:30.682,0.8350000000000001
995,Ill be right with you.,Chandler,neutral,neutral,99,18,7,19,2023-05-02 00:06:30.682,2023-05-02 00:06:32.688,2.0060000000000002
996,"Th-th-that's all it is, a third nipple.",Ross,neutral,neutral,100,0,3,23,2023-05-02 00:05:30.246,2023-05-02 00:05:32.122,1.8760000000000001
998,Just your run-of-the-mill third nipple.,Ross,neutral,neutral,100,1,3,23,2023-05-02 00:05:32.290,2023-05-02 00:05:35.917,3.6270000000000002
1000,You can take it off.,Ross,neutral,neutral,100,2,3,23,2023-05-02 00:05:36.085,2023-05-02 00:05:37.212,1.127
1001,Just slice that baby right off!,Ross,fear,negative,100,3,3,23,2023-05-02 00:05:37.212,2023-05-02 00:05:39.696,2.484
1003,Just showing you my run-of-the-mill-slice-it-right-off third nipple.,Ross,neutral,neutral,100,5,3,23,2023-05-02 00:05:48.181,2023-05-02 00:05:52.726,4.545
1004,Well that's not a third nipple.,Dr. Rhodes,neutral,neutral,100,6,3,23,2023-05-02 00:05:52.894,2023-05-02 00:05:55.729,2.835
1005,No?,Ross,surprise,negative,100,7,3,23,2023-05-02 00:05:54.000,2023-05-02 00:05:55.729,1.729
1006,"First of all, it's on your ass.",Dr. Rhodes,neutral,neutral,101,0,6,23,2023-05-02 00:05:55.897,2023-05-02 00:05:58.190,2.293
1007,"Well then, what is it?!",Ross,surprise,negative,101,1,6,23,2023-05-02 00:05:59.150,2023-05-02 00:06:00.525,1.375
1009,I'm with Hamilton!,Dr. Johnson,neutral,neutral,102,1,3,23,2023-05-02 00:06:05.198,2023-05-02 00:06:08.116,2.918
1010,"He's good with rear things, bring him in too.",Dr. Rhodes,neutral,neutral,102,2,3,23,2023-05-02 00:06:08.284,2023-05-02 00:06:10.619,2.335
1011,"Umm, this is great wine.",Kristen,joy,positive,103,0,8,4,2023-05-02 00:09:13.386,2023-05-02 00:09:16.805,3.419
1013,Really?,Kristen,surprise,positive,103,2,8,4,2023-05-02 00:09:34.240,2023-05-02 00:09:38.034,3.794
1014,"Uh-hmmWait! It gets better. Um, yeah I was in Barcelona.",Ross,joy,positive,103,3,8,4,2023-05-02 00:09:40.204,2023-05-02 00:09:42.706,2.5020000000000002
1015,I studied for a year in Barcelona.,Kristen,neutral,neutral,103,4,8,4,2023-05-02 00:09:42.873,2023-05-02 00:09:46.793,3.9200000000000004
1016,"Anyway, umm so I was um, I was hiking",Ross,neutral,neutral,103,5,8,4,2023-05-02 00:09:48.588,2023-05-02 00:09:52.634,4.046
1017,I love hiking!,Kristen,joy,positive,103,6,8,4,2023-05-02 00:09:52.634,2023-05-02 00:09:52.774,0.14
1020,"So? Congratulations you two, I didnt even know you got married.",Janice,surprise,positive,104,0,8,23,2023-05-02 00:21:10.757,2023-05-02 00:21:14.761,4.0040000000000004
1021,Oh we-we didnt.,Rachel,joy,positive,104,1,8,23,2023-05-02 00:21:15.011,2023-05-02 00:21:16.596,1.5850000000000002
1022,No-no. We,Ross,fear,negative,105,0,6,23,2023-05-02 00:21:15.011,2023-05-02 00:21:16.596,1.5850000000000002
1023,What?!,Janice,surprise,negative,105,1,6,23,2023-05-02 00:21:16.805,2023-05-02 00:21:18.181,1.3760000000000001
1024,"Um uhWere-were just having this baby together but uh, uh thats all.",Ross,neutral,neutral,106,0,8,23,2023-05-02 00:21:18.432,2023-05-02 00:21:22.894,4.462000000000001
1025,Why?!!,Janice,surprise,negative,106,1,8,23,2023-05-02 00:21:24.020,2023-05-02 00:21:25.814,1.794
1027,Oh. Well then shut me up.,Janice,neutral,neutral,106,3,8,23,2023-05-02 00:21:34.531,2023-05-02 00:21:37.367,2.8360000000000003
1028,Just tell me how.,Rachel,neutral,neutral,106,4,8,23,2023-05-02 00:21:38.452,2023-05-02 00:21:39.494,1.042
1029,"Uh-oh, I feel another one coming.",Janice,fear,negative,106,5,8,23,2023-05-02 00:21:41.455,2023-05-02 00:21:43.707,2.2520000000000002
1031,"Let it go, Ross.",Joey,neutral,neutral,107,0,1,3,2023-05-02 00:07:33.578,2023-05-02 00:07:35.120,1.542
1032,"Yeah, well, you didn't know Chi Chi.",Ross,neutral,neutral,107,1,1,3,2023-05-02 00:07:35.329,2023-05-02 00:07:37.080,1.7510000000000001
1033,Do you all promise?,Monica,neutral,neutral,107,2,1,3,2023-05-02 00:07:41.252,2023-05-02 00:07:42.419,1.167
1035,Chandler? Do you promise to be good?,Monica,neutral,neutral,107,4,1,3,2023-05-02 00:07:45.548,2023-05-02 00:07:48.467,2.919
1036,"You can come in, but your filter-tipped little buddy has to stay outside!",Joey,joy,positive,107,5,1,3,2023-05-02 00:07:56.058,2023-05-02 00:08:00.270,4.212000000000001
1037,"Hey, Pheebs.",Ross,neutral,neutral,107,6,1,3,2023-05-02 00:08:06.694,2023-05-02 00:08:08.195,1.5010000000000001
1038,Dear Ms. Buffay.,Phoebe,neutral,neutral,107,7,1,3,2023-05-02 00:08:10.072,2023-05-02 00:08:11.414,1.342
1039,Thank you for calling attention to our error.,Phoebe,neutral,neutral,107,8,1,3,2023-05-02 00:08:11.414,2023-05-02 00:08:13.294,1.8800000000000001
1047,"Honey, both yours.",Monica,neutral,neutral,108,1,8,17,2023-05-02 00:11:42.243,2023-05-02 00:11:46.871,4.628
1048,Hey! Great advice on that Joey thing!,Rachel,joy,positive,108,2,8,17,2023-05-02 00:11:48.916,2023-05-02 00:11:51.876,2.96
1049,Yeah? The work problem?,Monica,neutral,neutral,108,3,8,17,2023-05-02 00:11:52.044,2023-05-02 00:11:54.379,2.335
1050,Oh it was perfect! I mean it really felt like he was my friend again.,Rachel,joy,positive,108,4,8,17,2023-05-02 00:11:54.547,2023-05-02 00:11:56.798,2.2510000000000003
1051,What problem did you tell him you had?,Chandler,neutral,neutral,108,5,8,17,2023-05-02 00:11:56.966,2023-05-02 00:12:01.553,4.587000000000001
1053,"Okay, Ive got some Ones, you wanna put them in her panties?",Monica,neutral,neutral,109,0,4,14,2023-05-02 00:14:05.594,2023-05-02 00:14:10.348,4.7540000000000004
1054,"No thanks, Mom!",Chandler,disgust,negative,109,1,4,14,2023-05-02 00:14:10.516,2023-05-02 00:14:12.934,2.418
1056,"Ha-ha, its not my baby, ha-ha-ha!",Phoebe,anger,negative,109,3,4,14,2023-05-02 00:14:25.030,2023-05-02 00:14:27.740,2.71
1057,"Very good,  so good.",Monica,joy,positive,109,4,4,14,2023-05-02 00:14:30.160,2023-05-02 00:14:33.454,3.294
1058,"I really, really enjoyed it. Very exotic.",Phoebe,joy,positive,109,5,4,14,2023-05-02 00:14:33.622,2023-05-02 00:14:38.042,4.42
1059,"Well, I just checked our messages and Joshua didnt call.",Rachel,sadness,negative,109,6,4,14,2023-05-02 00:14:38.711,2023-05-02 00:14:41.963,3.2520000000000002
1060,I mean youd think hed be worried about me not showing up at his club.,Rachel,sadness,negative,109,7,4,14,2023-05-02 00:14:42.131,2023-05-02 00:14:45.550,3.419
1061,"Ugh, you know what makes it so much worse, Ross is all happy in Vermont!",Rachel,sadness,negative,109,8,4,14,2023-05-02 00:14:45.718,2023-05-02 00:14:50.513,4.795
1062,Come on! Look where you are!!,Phoebe,joy,positive,109,9,4,14,2023-05-02 00:14:50.681,2023-05-02 00:14:53.641,2.96
1063,"When you get a sec, another round of daiquiris.",Monica,neutral,neutral,109,10,4,14,2023-05-02 00:14:55.102,2023-05-02 00:14:57.034,1.9320000000000002
1064,"Remember, a virgin for me please.",Phoebe,neutral,neutral,109,11,4,14,2023-05-02 00:14:57.034,2023-05-02 00:14:58.986,1.9520000000000002
1065,Oh! And dont let me leave without getting the name of that carpet guy.,Monica,neutral,neutral,109,12,4,14,2023-05-02 00:14:59.106,2023-05-02 00:15:02.400,3.294
1067,"Well, if you think it will help.",Phoebe,neutral,neutral,109,14,4,14,2023-05-02 00:15:07.656,2023-05-02 00:15:08.991,1.3350000000000002
1068,No!,Chandler,anger,negative,109,15,4,14,2023-05-02 00:15:08.991,2023-05-02 00:15:09.793,0.802
1069,That was a test!,Chandler,fear,negative,109,16,4,14,2023-05-02 00:15:09.793,2023-05-02 00:15:10.912,1.119
1070,In a couple of hours Im gonna get really drunk and wanna call Kathy and you guys are gonna have to stop me!,Chandler,fear,negative,109,17,4,14,2023-05-02 00:15:10.993,2023-05-02 00:15:15.371,4.378
1071,"And then after that, Im gonna get so drunk, Im gonna wanna call Janice",Chandler,fear,negative,109,18,4,14,2023-05-02 00:15:15.539,2023-05-02 00:15:18.416,2.8770000000000002
1072,You should! How is she?,Phoebe,surprise,positive,109,19,4,14,2023-05-02 00:15:18.584,2023-05-02 00:15:20.335,1.7510000000000001
1073,Ohhh!!,Chandler,anger,negative,109,20,4,14,2023-05-02 00:15:19.000,2023-05-02 00:15:20.335,1.3350000000000002
1074,I think somebody needs another lap dance.,Monica,joy,positive,109,21,4,14,2023-05-02 00:15:22.129,2023-05-02 00:15:24.714,2.585
1075,"All right, I definitely taste nutmeg.",Monica,neutral,neutral,110,0,7,3,2023-05-02 00:08:03.733,2023-05-02 00:08:05.615,1.8820000000000001
1076,You do?,Phoebe,surprise,positive,110,1,7,3,2023-05-02 00:08:05.615,2023-05-02 00:08:06.571,0.9560000000000001
1077,"You dont?  Well, thats the difference between a professional and a layman.",Monica,surprise,positive,110,2,7,3,2023-05-02 00:08:06.694,2023-05-02 00:08:11.531,4.837000000000001
1078,That and arrogance.,Phoebe,anger,negative,110,3,7,3,2023-05-02 00:08:13.242,2023-05-02 00:08:14.951,1.709
1079,Hey.,Joey,neutral,neutral,110,4,7,3,2023-05-02 00:08:17.121,2023-05-02 00:08:18.163,1.042
1080,Hey! How was sailing?,Monica,joy,positive,110,5,7,3,2023-05-02 00:08:17.121,2023-05-02 00:08:19.915,2.794
1081,Wow thanks!,Joey,joy,positive,111,0,7,1,2023-05-02 00:09:11.801,2023-05-02 00:09:14.177,2.3760000000000003
1082,Joe?,Chandler,fear,negative,111,1,7,1,2023-05-02 00:09:17.848,2023-05-02 00:09:18.810,0.9620000000000001
1083,Yeah!,Joey,joy,positive,111,2,7,1,2023-05-02 00:09:18.810,2023-05-02 00:09:20.452,1.6420000000000001
1087,"There huhhmm, there-there was an incident.",Chandler,fear,negative,111,6,7,1,2023-05-02 00:09:49.130,2023-05-02 00:09:51.298,2.168
1088,"Dont worry about that man, that happens.",Joey,neutral,neutral,111,7,7,1,2023-05-02 00:09:52.758,2023-05-02 00:09:55.844,3.0860000000000003
1089,Its happened to you?,Chandler,surprise,negative,111,8,7,1,2023-05-02 00:09:56.304,2023-05-02 00:09:57.606,1.302
1090,Yeah! Once.,Joey,neutral,neutral,111,9,7,1,2023-05-02 00:09:57.606,2023-05-02 00:09:59.654,2.048
1091,"Well, whatd you do?",Chandler,surprise,negative,111,10,7,1,2023-05-02 00:10:00.182,2023-05-02 00:10:01.104,0.922
1092,I did it anyway.,Joey,neutral,neutral,111,11,7,1,2023-05-02 00:10:01.104,2023-05-02 00:10:03.938,2.834
1094,"Take whatever you want, just please dont hurt me.",Chandler,fear,negative,111,13,7,1,2023-05-02 00:08:27.882,2023-05-02 00:08:30.550,2.668
1097,"Come on man, really how old?!",Joey,surprise,positive,111,16,7,1,2023-05-02 00:09:01.290,2023-05-02 00:09:02.874,1.584
1099,And they knew about it?,Ross,surprise,negative,112,0,7,2,2023-05-02 00:06:41.401,2023-05-02 00:06:43.068,1.667
1100,"Okay, well Ross, what is this really about?",Phoebe,surprise,negative,112,1,7,2,2023-05-02 00:06:46.864,2023-05-02 00:06:49.408,2.544
1101,"Look, this is my home and I want to be able to come and go whenever I want!",Ross,anger,negative,112,2,7,2,2023-05-02 00:06:50.034,2023-05-02 00:06:53.870,3.8360000000000003
1104,"Okay, look, he's not gonna hurt them, right?",Ross,neutral,neutral,113,0,1,10,2023-05-02 00:07:42.962,2023-05-02 00:07:45.797,2.835
1105,Do you always have to bring him here?,Monica,anger,negative,113,1,1,10,2023-05-02 00:07:45.965,2023-05-02 00:07:47.966,2.0010000000000003
1106,I didn't wanna leave him alone.,Ross,neutral,neutral,113,2,1,10,2023-05-02 00:07:49.469,2023-05-02 00:07:51.191,1.7220000000000002
1107,Alright?,Ross,neutral,neutral,113,3,1,10,2023-05-02 00:07:51.191,2023-05-02 00:07:51.475,0.28400000000000003
1108,We- we had our first fight this morning.,Ross,neutral,neutral,113,4,1,10,2023-05-02 00:07:51.596,2023-05-02 00:07:54.139,2.543
1110,"I said some things that I didn't mean, and he- he threw some faeces...",Ross,neutral,neutral,113,6,1,10,2023-05-02 00:08:02.982,2023-05-02 00:08:05.192,2.21
1111,"Y'know, if you're gonna work late, I could look in on him for you.",Chandler,neutral,neutral,113,7,1,10,2023-05-02 00:08:08.613,2023-05-02 00:08:11.281,2.668
1112,"Oh, that'd be great!",Ross,joy,positive,113,8,1,10,2023-05-02 00:08:11.449,2023-05-02 00:08:13.450,2.0010000000000003
1114,"Okay, but if he asks, I'm not going to lie.",Chandler,neutral,neutral,113,10,1,10,2023-05-02 00:08:19.957,2023-05-02 00:08:23.001,3.044
1116,Check this out.,Chandler,neutral,neutral,114,0,4,21,2023-05-02 00:21:32.291,2023-05-02 00:21:33.457,1.1660000000000001
1117,It says here that theres a place you can go to rent videos of all the museums!,Chandler,surprise,positive,114,1,4,21,2023-05-02 00:21:33.667,2023-05-02 00:21:37.128,3.4610000000000003
1118,"""Its almost as good as being there.""",Chandler,neutral,neutral,114,2,4,21,2023-05-02 00:21:37.379,2023-05-02 00:21:40.214,2.835
1119,Its better! You cant go to a museum in your underwear!,Joey,joy,positive,114,3,4,21,2023-05-02 00:21:40.424,2023-05-02 00:21:44.135,3.7110000000000003
1120,Oh-ho! I bet the British version is gooooood!,Joey,joy,positive,114,4,4,21,2023-05-02 00:22:00.027,2023-05-02 00:22:03.070,3.043
1121,"Uh, may I help you?",Jester,neutral,neutral,115,0,3,7,2023-05-02 00:21:24.366,2023-05-02 00:21:26.200,1.834
1124,"All right, Jester man, look we wanna see the king.",Joey,neutral,neutral,115,3,3,7,2023-05-02 00:21:38.547,2023-05-02 00:21:40.715,2.168
1125,Nobody sees the king!,Jester,anger,negative,115,4,3,7,2023-05-02 00:21:40.882,2023-05-02 00:21:42.842,1.9600000000000002
1126,"Oh-ho-kay, Im talking to the king.",Joey,neutral,neutral,115,5,3,7,2023-05-02 00:21:43.844,2023-05-02 00:21:45.928,2.084
1127,Hey! You cant go back there!,Jester,surprise,negative,115,6,3,7,2023-05-02 00:21:46.138,2023-05-02 00:21:48.097,1.959
1128,Oh my God.,Janice,surprise,negative,115,7,3,7,2023-05-02 00:21:53.854,2023-05-02 00:21:57.732,3.878
1129,"So, this must be kinda neat for ya, huh?",Ross,neutral,neutral,116,0,3,10,2023-05-02 00:04:30.853,2023-05-02 00:04:34.648,3.7950000000000004
1132,"Wow, you ah, you really like all this space stuff, huh?",Ross,surprise,positive,116,3,3,10,2023-05-02 00:04:49.956,2023-05-02 00:04:54.626,4.67
1133,Yeah.,Sarah,neutral,neutral,116,4,3,10,2023-05-02 00:04:54.794,2023-05-02 00:04:58.338,3.544
1135,I think you would have to clean a whole lot of apartments to go all the way to India.,Ross,neutral,neutral,116,6,3,10,2023-05-02 00:05:04.095,2023-05-02 00:05:08.348,4.253
1137,"Oh, um, I dont know if thats a good idea.",Monica,joy,positive,117,0,3,13,2023-05-02 00:02:23.560,2023-05-02 00:02:25.727,2.1670000000000003
1138,"Oh. Look, just friends, I wont grope you. I promise.",Richard,neutral,neutral,117,1,3,13,2023-05-02 00:02:25.895,2023-05-02 00:02:28.730,2.835
1139,"No, I just I think that its too soon.",Monica,joy,positive,117,2,3,13,2023-05-02 00:02:29.732,2023-05-02 00:02:31.567,1.8350000000000002
1140,"No its not too soon, I had lunch at a eleven.",Richard,neutral,neutral,117,3,3,13,2023-05-02 00:02:31.776,2023-05-02 00:02:34.528,2.7520000000000002
1141,I invented the game of Cups as a way to give Joey money.,Chandler,neutral,neutral,118,0,6,6,2023-05-02 00:21:09.017,2023-05-02 00:21:12.311,3.294
1142,And now you want that money back.,Ross,surprise,positive,118,1,6,6,2023-05-02 00:21:12.479,2023-05-02 00:21:14.607,2.128
1143,Exactly.,Chandler,neutral,neutral,118,2,6,6,2023-05-02 00:21:14.607,2023-05-02 00:21:16.049,1.4420000000000002
1144,"Chandler, what kind of an idiot do you take me for?",Ross,joy,positive,118,3,6,6,2023-05-02 00:21:16.149,2023-05-02 00:21:18.526,2.3770000000000002
1145,Its not a real game! I made it up!,Chandler,anger,negative,118,4,6,6,2023-05-02 00:21:19.820,2023-05-02 00:21:21.904,2.084
1146,"Im sorry you lost your money, but I won it fair and square.",Ross,joy,positive,118,5,6,6,2023-05-02 00:21:22.072,2023-05-02 00:21:25.241,3.169
1147,I don't know.,Joey,neutral,neutral,119,0,5,17,2023-05-02 00:14:47.928,2023-05-02 00:14:48.471,0.543
1148,But I can see through your sheet.,Joey,neutral,neutral,119,1,5,17,2023-05-02 00:14:48.471,2023-05-02 00:14:50.735,2.2640000000000002
1149,"Yeah, yeah, that's her.",Joey,neutral,neutral,119,2,5,17,2023-05-02 00:14:53.475,2023-05-02 00:14:55.237,1.762
1150,But y'know what?,Joey,neutral,neutral,119,3,5,17,2023-05-02 00:14:55.237,2023-05-02 00:14:56.356,1.119
